,State,,Increase,Area,Density,SexRatio,Literacy rate
1,Uttar Pradesh,199812341,14,240928,829,912,67.68
2,Maharashtra,112374333,7,307713,365,929,82.34
3,Bihar,104099452,-1,94163,1106,918,61.8
4,West Bengal,91276115,16,88752,1028,950,76.26
5,Andhra Pradesh,84580777,15,275045,308,993,67.02
6,Madhya Pradesh,72626809,12,308252,236,931,69.32
7,Tamil Nadu,72147030,9,130060,555,996,80.09
8,Rajasthan,68548437,7,342239,200,928,66.11
9,Karnataka,61095297,8,191791,319,973,75.36
10,Gujarat,60439692,-1,196244,308,919,78.03
11,Orissa,41974218,7,155707,270,979,72.87
12,Kerala,33406061,26,38852,860,1084,94
13,Jharkhand,32988134,7,79716,414,948,66.41
14,Assam,31205576,8,78438,398,958,72.19
15,Punjab,27743338,19,50362,551,895,75.84
16,Chhattisgarh,25545198,2,135192,189,991,70.28
17,Haryana,25351462,0,44212,573,879,75.55
18,Delhi,16787941,47,1483,11320,868,86.21
19,Jammu and Kashmir,12541302,-3,222236,56,889,67.16
20,Uttarakhand,10086292,1,53483,189,963,78.82
21,Himachal Pradesh,6864602,4,55673,123,972,82.8
22,Tripura,3673917,12,10486,350,960,87.22
23,Meghalaya,2966889,17,22429,132,989,74.43
24,Manipur,2855794,11,22327,128,985,76.94
25,Nagaland,1978502,31,16579,119,931,79.55
26,Goa,1458545,12,3702,394,973,88.7
27,Arunachal Pradesh,1383727,45,83743,17,938,65.38
28,Puducherry,1247953,36,490,2547,1037,85.85
29,Mizoram,1097206,41,21081,52,976,91.33
30,Chandigarh,1055450,41,114,9258,818,86.05
31,Sikkim,610577,15,7096,86,890,81.42
32,Andaman and Nicobar Islands,380581,30,8249,46,876,86.63
33,Dadra and Nagar Haveli,343709,-38,491,700,774,76.24
34,Daman and Diu,243247,0,111,2191,618,87.1
35,Lakshadweep,64473,5,30,2149,946,91.85
